main_category,subcategory,master_name,review_amount,rating,size,details,True to size (size_ag),Too Big (size_ag),Small (size_ag),Too Small (size_ag),Not specified (size_ag),Big (size_ag),Not specified (experience),Quality (experience),Stylish (experience),Comfortable (experience),Verified Buyer,Verified Reviewer,Unverified
Woman's,Womens-platforms,Selena-r,8,4.8,True to size,"1.5 inch heel height; Textile and suede upper material with stones; Faux fur lining; Vegan leather sock; Synthetic sole; Fit tip: If you are in between sizes, size down a half-size; Imported",2.0,1.0,2.0,0.0,2.0,1.0,8.0,0.0,0.0,0.0,7.0,0.0,1.0
Woman's,Womens-platforms,Cobra,512,4.6,True to size,"Double platform, heavy heel bootie of the season; 5 inch heel height; 2.25 inch platform; 10 inch shaft circumference; 5.75 inch shaft height; Feels like a 2.5 inch heel with the front platform; Vegan leather upper material; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: if you are in between sizes, size down a half size; Imported",76.0,3.0,9.0,2.0,16.0,2.0,108.0,0.0,0.0,0.0,101.0,2.0,5.0
Woman's,Womens-platforms,Jaylin,3,4.3,Small,6 inch heel height; 1.5 inch platform; Synthetic upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0
Woman's,Womens-platforms,Supermona,0,,,2.5 inch heel height; Leather upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman's,Womens-platforms,J,0,,,Jessica Rich | Steve Madden; 5.25 inch heel height; 1.75 inch platform; Textile upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman's,Womens-platforms,Mercerr,5,4.4,True to size,2.75 inch heel height; 1 inch platform; Leather upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,3.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0
Woman's,Womens-wedges,Escapism,4,4.8,True to size,"3.75 inch heel height; 2.25 inch platform; Synthetic upper material; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size down a half-size; Imported",3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
Woman's,Womens-wedges,River,7,4.6,Big,"4.5 inch heel height; 2 inch platform; Leather upper material; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",4.0,1.0,0.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,7.0,0.0,0.0
Woman's,Womens-wedges,Pinnacle,1,5.0,True to size,5 inch heel height; 1 inch platform; Synthetic upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Woman's,Womens-wedges,Cider,0,,,3.5 inch heel height; 1.5 inch platform; Raffia upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman's,Womens-wedges,Impress,4,3.8,Small,4.25 inch heel height; Leather upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0
Woman's,Womens-wedges,Sunset,3,4.7,Big,"4 inch heel height; 2.5 inch platform; Leather upper material; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0
Woman's,Womens-wedges,Florentina,0,,,5 inch heel height; 1.25 inch platform; Leather and raffia upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman's,Womens-wedges,Jetty,0,,,3.5 inch heel height; 1.5 inch platform; Raffia upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman's,Womens-wedges,Lucero,2,5.0,True to size,5 inch heel height; 2 inch platform; Textile upper material; Vegan leather lining; Vegan leather sock; Synthetic sole; Imported,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
Woman's,Womens-wedges,Cosmo,3,4.7,Small,4.25 inch heel height; 1.25 inch platform; Textile upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0
Woman's,Womens-wedges,Arbor,2,5.0,True to size,5 inch heel height; 1.5 inch platform; Leather upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
Woman's,Womens-wedges,Coastal,0,,,3.25 inch heel height; 1.5 inch platform; Raffia upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman's,Womens-wedges,Dune,6,5.0,Big,4 inch heel height; 1.25 inch platform; Leather upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,4.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,5.0,0.0,1.0
Woman's,Womens-wedges,Haven,5,4.8,True to size,4.25 inch heel height; 1.5 inch platform; Raffia and synthetic upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,5.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,5.0,0.0,0.0
Woman's,Womens-wedges,Cayman,10,4.9,True to size,4.25 inch heel height; 1.5 inch platform; PVC upper material; Unlined; Synthetic sock; Synthetic sole; Imported,6.0,1.0,2.0,0.0,0.0,1.0,6.0,2.0,4.0,2.0,10.0,0.0,0.0
Woman's,Womens-wedges,Wynn,3,5.0,True to size,5.25 inch heel height; 1.75 inch platform; Suede upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0
